id,week,day_start,day_end,scheduled_date,section,category,deliverable_type,priority,effort_minutes,title,description,target_url,target_keyword,secondary_keywords,page_title,meta_description,content_brief,status,completed_at,completed_by,notes,blog_slug,sort_order,verified_at,verified_status,verified_snapshot,created_at,updated_at
5fadbdcd-bef1-419b-9e0c-83f4114e0aa1,1,1,2,2026-05-20,SEO,on-page,meta,high,30,Home page meta + H1 polish,"Tighten title/description for /, ensure single H1 with primary keyword.",https://www.precisedm.com/,clinical insulin dosing tools,"{precisedm,""diabetes calculator"",""clinician tools""}",PreciseDM — Clinical Insulin Dosing Tools for Practitioners,"Evidence-aligned insulin dosing support for steroid hyperglycemia, gestation, maintenance and DKA — built for clinicians.",Refine home meta + H1 for primary keyword without changing brand voice.,todo,,,seed:precisedm-v1,,11,,,,2026-05-20 16:26:41.328757+00,2026-05-20 16:26:41.328757+00
a9db6b89-40f2-4f47-b1e9-c338296c090f,1,2,2,2026-05-21,SEO,on-page,meta,high,30,Features page meta refresh,"Update /features title + description to target ""clinical support tools for complex cases"".",https://www.precisedm.com/features,clinical support tools for complex cases,"{""steroid calculator"",""gestational diabetes calculator"",""maintenance insulin""}",Clinical Decision Support for Complex Insulin Cases | PreciseDM,"Four clinician-facing tools for steroid-induced hyperglycemia, gestation, maintenance dosing and DKA — used at the point of care.",,todo,,,seed:precisedm-v1,,12,,,,2026-05-20 16:26:41.328757+00,2026-05-20 16:26:41.328757+00
66a24c10-d22c-4afc-a262-79c695ae1346,1,3,3,2026-05-22,AEO,content,faq,high,45,Expand FAQ for AI answer engines,"Add concise Q&A blocks covering the 4 tools, methodology disclaimers, and clinician scope.",https://www.precisedm.com/faq,steroid induced hyperglycemia management,"{""gestational diabetes insulin dosing"",""maintenance insulin calculator""}",,,"Write 6-8 short Q&A pairs <60 words each, plain language, citing clinician scope.",todo,,,seed:precisedm-v1,,13,,,,2026-05-20 16:26:41.328757+00,2026-05-20 16:26:41.328757+00
8978d6ea-0b83-49b9-9f69-e0b12cd9e470,1,4,4,2026-05-23,GEO,listings,citation,medium,30,Confirm Google Business Profile + NAP,Verify name/address/phone consistency for PreciseDM across primary listings.,,precisedm google business,{},,,,todo,,,seed:precisedm-v1,,14,,,,2026-05-20 16:26:41.328757+00,2026-05-20 16:26:41.328757+00
d95b1d01-d114-4a09-b48a-e3ee9eeab2d3,1,5,5,2026-05-24,SEO,technical,schema,high,45,Add MedicalWebPage + FAQPage JSON-LD,Inject schema for /features and /faq to qualify for rich results.,https://www.precisedm.com/features,medical schema,"{faqpage,medicalwebpage}",,,JSON-LD blocks for MedicalWebPage and FAQPage.,todo,,,seed:precisedm-v1,,15,,,,2026-05-20 16:26:41.328757+00,2026-05-20 16:26:41.328757+00
e193cc12-9826-4452-be91-0aef39d3b012,1,6,7,2026-05-25,AEO,content,blog,high,60,Publish blog: Steroid-induced hyperglycemia,Editorial review + publish the clinician primer on steroid-induced hyperglycemia.,https://www.precisedm.com/blog/steroid-induced-hyperglycemia-clinical-challenges-practitioners,steroid induced hyperglycemia,"{""glucocorticoid hyperglycemia"",""steroid diabetes management""}",,,Use approved draft. Confirm MD review badge.,todo,,,seed:precisedm-v1,,16,,,,2026-05-20 16:26:41.328757+00,2026-05-20 16:26:41.328757+00
cc0a5187-78a2-4aa9-a1ea-758009df77db,2,8,8,2026-05-27,SEO,on-page,internal-link,medium,30,Internal links from /features to tools,Add contextual links from /features to each of the 4 tool pages with descriptive anchors.,https://www.precisedm.com/features,clinical insulin dosing tools,{},,,,todo,,,seed:precisedm-v1,,20,,,,2026-05-20 16:26:41.328757+00,2026-05-20 16:26:41.328757+00
d20fea4f-029c-4ee7-86ab-b2a4641d630c,2,9,10,2026-05-28,AEO,content,blog,high,75,Draft blog: Gestational diabetes insulin,Long-form clinician primer on personalised insulin guidance in pregnancy.,https://www.precisedm.com/blog/gestational-diabetes-personalized-insulin-dosing,gestational diabetes insulin dosing,"{""pregnancy insulin"",""gdm clinician""}",,,"1200-1500 words, MFM-reviewed tone, end with PreciseDM Gestation tool CTA.",todo,,,seed:precisedm-v1,,21,,,,2026-05-20 16:26:41.328757+00,2026-05-20 16:26:41.328757+00
bfaad9ea-5d15-4aae-a5f1-96abf6674699,2,11,11,2026-05-30,SEO,technical,audit,medium,30,Lighthouse audit + Core Web Vitals,"Run Lighthouse against home, features, blog index. Capture LCP/CLS/INP.",https://www.precisedm.com/,,{},,,,todo,,,seed:precisedm-v1,,22,,,,2026-05-20 16:26:41.328757+00,2026-05-20 16:26:41.328757+00
b6d7a21d-b38f-4f80-bd17-9ef2bfc8d335,2,12,12,2026-05-31,GEO,listings,citation,medium,30,Health directory citations (Healthgrades/Practo),Submit PreciseDM to 3 relevant healthcare directories.,,clinical decision support directory,{},,,,todo,,,seed:precisedm-v1,,23,,,,2026-05-20 16:26:41.328757+00,2026-05-20 16:26:41.328757+00
